iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
AFG,agriculture,synthetic-fertilizer-application,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-11-16 17:30:53.666114,
AFG,agriculture,synthetic-fertilizer-application,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,,tonnes,annual,2023-11-16 17:30:53.666094,
AFG,agriculture,synthetic-fertilizer-application,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,353687.06,tonnes,annual,2023-11-16 17:30:53.666136,
AFG,agriculture,synthetic-fertilizer-application,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,353687.06,tonnes,annual,2023-11-16 17:30:53.666145,
AFG,agriculture,synthetic-fertilizer-application,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,1295.56,tonnes,annual,2023-11-16 17:30:53.666125,
AFG,agriculture,synthetic-fertilizer-application,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:36.285023,
AFG,agriculture,synthetic-fertilizer-application,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,,tonnes,annual,2023-10-03 21:10:36.285008,
AFG,agriculture,synthetic-fertilizer-application,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,353687.06,tonnes,annual,2023-10-03 21:10:36.285044,
AFG,agriculture,synthetic-fertilizer-application,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,353687.06,tonnes,annual,2023-10-03 21:10:36.285051,
AFG,agriculture,synthetic-fertilizer-application,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,1295.56,tonnes,annual,2023-10-03 21:10:36.285034,
AFG,agriculture,synthetic-fertilizer-application,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:36.285665,
AFG,agriculture,synthetic-fertilizer-application,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,,tonnes,annual,2023-10-03 21:10:36.285653,
AFG,agriculture,synthetic-fertilizer-application,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,401070.37,tonnes,annual,2023-10-03 21:10:36.285683,
AFG,agriculture,synthetic-fertilizer-application,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,401070.37,tonnes,annual,2023-10-03 21:10:36.285691,
AFG,agriculture,synthetic-fertilizer-application,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,1469.12,tonnes,annual,2023-10-03 21:10:36.285674,
AFG,agriculture,synthetic-fertilizer-application,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:36.286304,
AFG,agriculture,synthetic-fertilizer-application,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,,tonnes,annual,2023-10-03 21:10:36.286291,
AFG,agriculture,synthetic-fertilizer-application,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,694545.54,tonnes,annual,2023-10-03 21:10:36.286321,
AFG,agriculture,synthetic-fertilizer-application,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,694545.54,tonnes,annual,2023-10-03 21:10:36.286329,
AFG,agriculture,synthetic-fertilizer-application,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,2544.12,tonnes,annual,2023-10-03 21:10:36.286313,
AFG,agriculture,synthetic-fertilizer-application,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:36.28697,
AFG,agriculture,synthetic-fertilizer-application,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,,tonnes,annual,2023-10-03 21:10:36.286957,
AFG,agriculture,synthetic-fertilizer-application,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,646037.05,tonnes,annual,2023-10-03 21:10:36.286987,
AFG,agriculture,synthetic-fertilizer-application,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,646037.05,tonnes,annual,2023-10-03 21:10:36.286995,
AFG,agriculture,synthetic-fertilizer-application,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,2366.44,tonnes,annual,2023-10-03 21:10:36.286979,
AFG,agriculture,synthetic-fertilizer-application,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:36.287582,
AFG,agriculture,synthetic-fertilizer-application,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,,tonnes,annual,2023-10-03 21:10:36.287569,
